,alpha,decayFunction,decay,epsilon,trial,net_reward,success
439,0.3,power,0.7,0.7,10,-48.3312184099,0
440,0.3,power,0.9,0.7,1,-61.0627862258,0
441,0.3,power,0.9,0.7,2,-28.3654492956,1
442,0.3,power,0.9,0.7,3,33.0097138436,0
443,0.3,power,0.9,0.7,4,3.13951397507,0
444,0.3,power,0.9,0.7,5,-74.8015860185,0
445,0.3,power,0.9,0.7,6,35.7940532868,0
446,0.3,power,0.9,0.7,7,21.0828373949,0
447,0.3,power,0.9,0.7,8,-7.86002541318,0
448,0.3,power,0.9,0.7,9,-25.0151511468,0
449,0.3,power,0.9,0.7,10,-8.68504168677,0
450,0.3,power,0.1,0.9,1,5.83958516286,0
451,0.3,power,0.1,0.9,2,30.409342152,0
452,0.3,power,0.1,0.9,3,9.57371659549,1
453,0.3,power,0.1,0.9,4,-52.7100288814,0
454,0.3,power,0.1,0.9,5,27.1522419219,0
455,0.3,power,0.1,0.9,6,-37.0728896634,0
456,0.3,power,0.1,0.9,7,22.6694280261,0
457,0.3,power,0.1,0.9,8,16.4889741227,1
458,0.3,power,0.1,0.9,9,-1.60788641152,0
459,0.3,power,0.1,0.9,10,-25.7208989867,0
460,0.3,power,0.3,0.9,1,-16.3035679607,0
461,0.3,power,0.3,0.9,2,-17.7278331049,1
462,0.3,power,0.3,0.9,3,-17.081126392,0
463,0.3,power,0.3,0.9,4,31.6910510594,1
464,0.3,power,0.3,0.9,5,-37.0285282831,0
465,0.3,power,0.3,0.9,6,-14.2104230987,0
466,0.3,power,0.3,0.9,7,10.7145797638,1
467,0.3,power,0.3,0.9,8,0.421874317867,1
468,0.3,power,0.3,0.9,9,11.5090593945,0
469,0.3,power,0.3,0.9,10,8.91402377831,1
470,0.3,power,0.5,0.9,1,18.7784345202,0
471,0.3,power,0.5,0.9,2,23.2520033604,0
472,0.3,power,0.5,0.9,3,34.1766613872,1
473,0.3,power,0.5,0.9,4,24.4020403939,0
474,0.3,power,0.5,0.9,5,25.9594804646,1
475,0.3,power,0.5,0.9,6,-29.533535619,0
476,0.3,power,0.5,0.9,7,-41.3640824104,0
477,0.3,power,0.5,0.9,8,-30.216152783,0
478,0.3,power,0.5,0.9,9,24.1363368768,0
479,0.3,power,0.5,0.9,10,25.069586772,0
480,0.3,power,0.7,0.9,1,-7.09930081013,0
481,0.3,power,0.7,0.9,2,30.1608815153,0
482,0.3,power,0.7,0.9,3,-2.53302631793,0
483,0.3,power,0.7,0.9,4,18.4248413411,0
484,0.3,power,0.7,0.9,5,1.54470970586,1
485,0.3,power,0.7,0.9,6,28.2975569812,1
486,0.3,power,0.7,0.9,7,9.12926524489,1
487,0.3,power,0.7,0.9,8,7.35722817497,1
488,0.3,power,0.7,0.9,9,22.297142361,1
489,0.3,power,0.7,0.9,10,18.6160674967,0
490,0.3,power,0.9,0.9,1,19.2060395018,0
491,0.3,power,0.9,0.9,2,18.8284083391,0
492,0.3,power,0.9,0.9,3,-32.3311461232,0
493,0.3,power,0.9,0.9,4,21.6170490037,1
494,0.3,power,0.9,0.9,5,21.5458949541,1
495,0.3,power,0.9,0.9,6,-48.5731658897,1
496,0.3,power,0.9,0.9,7,17.4763869592,0
497,0.3,power,0.9,0.9,8,10.1869361285,0
498,0.3,power,0.9,0.9,9,27.6053489236,0
499,0.3,power,0.9,0.9,10,23.4813531898,0
500,0.5,power,0.1,0.1,1,-6.34648616852,1
