trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.7, 'e': 1.5445383597460574e-06}",20,7,21.074265150661148,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 1.3900845237714517e-06}",20,5,26.129057837366283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 1.2510760713943066e-06}",35,19,29.834603920526526,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 1.1259684642548759e-06}",25,8,33.338403174934335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 1.0133716178293884e-06}",20,9,19.57370470028173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 9.120344560464496e-07}",25,15,22.208099299120203,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 8.208310104418046e-07}",20,10,15.616130379999895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 7.387479093976242e-07}",25,14,24.616077626980168,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 6.648731184578617e-07}",35,20,29.114976692805055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 5.983858066120757e-07}",30,15,26.094469424933138,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 5.385472259508681e-07}",25,7,33.24665250159008,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 4.846925033557813e-07}",30,15,24.93851837880438,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 4.362232530202032e-07}",35,15,38.493699297200074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 3.9260092771818286e-07}",20,13,13.35077592473599,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 3.533408349463646e-07}",25,12,25.23381619453615,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 3.180067514517281e-07}",25,11,26.454157765544743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 2.8620607630655533e-07}",30,9,37.24161022125701,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 2.575854686758998e-07}",30,18,22.98114913792324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 2.318269218083098e-07}",20,0,28.1995123026942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.7, 'e': 2.0864422962747884e-07}",30,23,12.850780896508475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 1.8777980666473096e-07}",25,17,12.747765362907746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 1.6900182599825786e-07}",20,16,6.237771349255908,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 1.521016433984321e-07}",30,18,23.217204950520838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 1.368914790585889e-07}",25,7,37.55925909813477,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 1.2320233115273e-07}",25,20,12.025839072402999,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 1.10882098037457e-07}",20,10,14.686565593015064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 9.97938882337113e-08}",25,13,21.339883311290986,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
